end-of-line eol endline line-end end-of-string new-line end-line linefeed carriage-return line-feed cr+lf crlf cr-lf end-of-record end-of-text end-of-message line-ending newline line-continuation end-of-data #13#10

redirect re-direct redirects redirecting redirected redirection re-directs reroute redirct re-directing login logout authenticate rediret re-route 301-redirect reroutes reditect redirect. navigate rediect

locationmanager cllocationmanager locationlistener didupdatelocations requestlocationupdates startupdatinglocation startmonitoringforregion onlocationchanged startmonitoringsignificantlocationchanges didupdatetolocation locationclient locationmanger getlastknownlocation stopupdatinglocation diddeterminestate cllocation fusedlocationapi didchangeauthorizationstatus network_provider requestsingleupdate cllocationmanger

pause pauses pausing resume suspend unpause sleep paused delay stop quit mute wait finish unpauses playback cancel resumes halt un-pause unpausing

dotnetopenauth dnoa tweetsharp twitterizer adal dotnetopenid wif identityserver3 identityserver lightopenid restsharp membershipreboot thinktecture.identitymodel linq2twitter xamarin.auth identitymodel oauth1 hammock servicestack oauth2 opensaml

strtok sscanf getline fgets strcat strcpy atoi fscanf strdup strcmp scanf strtok_r strlen strtol strsep sprintf snprintf strncpy strstr strchr getchar

strtod atof strtol strtoul strtof atoi strtoll strtoull atol itoa strtold sscanf atoll snprintf mbstowcs vsnprintf wcstombs vsprintf strsep strncmp strtok_r

restlet resteasy jax-rs jersey jaxrs spring-ws cxf springmvc dropwizard grizzly apache-cxf jax-ws spring-integration odata4j resttemplate spring-mvc restygwt playframework spring-data-rest restlets jersy

removeclass addclass .removeclass toggleclass .addclass .toggleclass .hide .toggle .hover fadetoggle hasclass .slidetoggle removeattr slidedown slideup slidetoggle .button fadeto .insertafter .slideup .show

winscp filezilla lftp putty psftp plink sftp cyberduck pscp jsch psexec mobaxterm ftp.exe plink.exe ncftp scp filezila openssh pscp.exe winscp.com robocopy

changelog changelogs readme change-log changlog changelog.md release-notes readme.txt readme.md doc bugtracker releasenotes v1.1.1 docu documenation perldelta v1.4 1.1.3 bug-tracker prerelease 0.7.0

typeglob bareword typeglobs sigil _this herestring hashref coderef zval qualified-id r-value filehandle dirhandle glvalue gensym symbol-value aref weakref foreignptr here-string __weak

entities entites models objects tables relations entitys relationships schemas entity collections associations pojos classes beans pocos entitites viewmodels fields records dtos

datainputstream dataoutputstream bufferedreader bufferedinputstream binaryreader bufferedoutputstream networkstream randomaccessfile gzipinputstream bufferedwriter objectinputstream filechannel fileinputstream bufferreader printwriter streamreader bytearrayinputstream zipinputstream bufferedstream binarywriter gzipoutputstream

printers printer inkjet laptops trays pcs lexmark dot-matrix minolta modems epson konica computers scanners terminals qln220 bixolon thermal cups devices desktops

gearman beanstalkd resque kue gearmand ironworker php-resque delayedjob sidekiq rabbitmq pheanstalk celery iron.io delayed_job apscheduler hangfire backgroundrb django-celery sucker_punch slurm gearmanmanager

mailaddress mailmessage internetaddress system.net.mail.mailmessage smtpclient networkcredential system.net.mail.smtpclient emailmessage mailaddresscollection mimemessage fromaddress system.net.mail.attachment cakeemail smtpserver webproxy exchangeservice emailaddress system.uri system.net.mail.mailaddress cdo.message mymail

leaderboard leaderboards achievements scoreboard highscore gamecenter highscores leader-board achievement quiz badges roster newsfeed score scorecard openfeint scores gpgs iads lobby standings

eregi ereg_replace ereg eregi_replace session_is_registered session_register mime_content_type stristr set_magic_quotes_runtime substr_replace str_ireplace strtr sql_regcase strripos mysql_escape_string mb_ereg_replace preg stripos strtolower ereg_ ucwords

namedtuple defaultdict collections.namedtuple collections.defaultdict collections.ordereddict classmethod ordereddict namedtuples keyvaluepair frozenset __dict__ sortedlist collections.counter dict sorteddict dictreader metaclass csv.dictreader collections.deque staticmethod sorteddictionary

urlconnection httpurlconnection httpconnection httpsurlconnection defaulthttpclient java.net.url java.net.httpurlconnection androidhttpclient webclient webrequest httpclient httpwebrequest url.openstream httprequest url.openconnection asynchttpclient getinputstream ftpclient zend_http_client inputstream nsurlrequest

insight insights clues guidance ideas hints advice thoughts tips suggestions assistance advices clue feedback hint recommendations shed explanation clarification explanations opinions

handle manage deal detect utilize implement intercept respond simulate bypass handles perform propagate resolve cope enforce avoid consume relate interpret solve

ifilter foxit ifilters distiller ipersiststream pdfcreator xll cutepdf acrobat pdflib addin abcpdf idispatch jodconverter add-in ms-office amyuni pdfmaker exceldna calibre any_iterator

cocoalumberjack xcglogger cocoapod fbsdksharekit lumberjack realmswift hockeysdk parseui sqlite.swift fbsdkloginkit fbsdkcorekit parsefacebookutilsv4 awscore ios-ntp firebaseanalytics nslogger oauthswift plcrashreporter cocoapods three20 googlemobileads

system.io.packaging system.io.compression windows.storage system.windows.automation system.drawing.printing system.io.isolatedstorage system.printing system.windows.media.imaging system.servicemodel.syndication system.xml.xpath system.drawing.imaging system.io.ports system.security.cryptography system.xml.linq microsoft.sqlserver.management.smo system.speech.recognition microsoft.visualbasic.fileio system.directoryservices microsoft.exchange.webservices.data microsoft.win32 system.windows.media

readwritelock reentrantreadwritelock reentrantlock readerwriterlockslim threading.lock concurrenthashmap concurrentmap copyonwritearraylist concurrentlinkedqueue readerwriterlock cyclicbarrier filelock concurrentdictionary countdownlatch java.util.concurrent.locks.lock synchronizedmap abstractqueuedsynchronizer semaphoreslim synchronizedlist blockingqueue priorityblockingqueue

libraries libs frameworks libaries packages modules librarys library librairies libraries. dlls plugins utilities binaries jars plug-ins apis extensions tools libraires dependencies

itemrenderer advanceddatagrid datagroup itemtemplate itemeditor headerrenderer itemscontrol datagridcolumn tilelist celltemplate itemcontainerstyle cellrenderer itemrender comboboxitem objectlistview datagridtemplatecolumn gridcolumn xtemplate ext.list xtype dataprovider

stripes hexagons tiles dots stars greens shades beads bars borders. border. whites borders hues quadrants backgrounds blues beams spotlights boarder blueish

listener handler listner eventlistener listeners event listener. listerner changelistener onclicklistener actionlistener eventhandler mouselistener ontouchlistener clicklistener observer listners clickhandler callback onclick broadcastreceiver

readme readme.md readme.txt changelog install.txt wiki read-me documentation read.me github doc readme.rst docs install.md perldelta package.json readme.markdown building.txt readme.html readmes faq

strpos stripos strstr strrpos substr_replace preg_match substr in_array instr stristr array_search indexof substr_count strripos patindex string.indexof charindex str_ireplace strchr preg_match_all strtr

switching switch transitioning navigating swithing moving swiching switched switches migrating upgrading changing swapping swtiching choosing transferring jumping swithcing porting pushing turning

tableadapter dataadapter sqldataadapter tableadapters sqladapter mysqldataadapter sqlcommandbuilder tableadaptermanager oledbdataadapter sqldatasource bindingsource sqlcommand commandbuilder selectcommand linqdatasource clientdataset insertcommand dgv dataadaptor storedprocedure deletecommand

twilio plivo nexmo twillio sinch clickatell tropo mailgun paypal sendgrid sms pstn mandrill twiml voicemail stripe authy voip authorize.net webhooks sip

timing latency delays timings timed latencies pacing timeouts 1ms 100us clocking delay throughput scheduling one-second 1-second performance throttling framerate jitter rtt

db2 sybase netezza oracle luw teradata mssql postgresql informix vertica sqlserver firebird udb postgres v9.5 mysql 11g express-c 10g ingres ase

procedures procs procedure sprocs proc procedured sps procedures. procudure proceedures procedure. udfs procedure.. proceedure subroutines procedur procedure... databases procedue procdure routines

memcpy strcpy memmove memset memcopy strncpy strcat malloc realloc memcmp calloc snprintf marshal.copy cudamemcpy alloca push_back sprintf strlen strdup bzero reinterpret_cast

converter convertor converters typeconverter formatter deserializer valueconverter booleantovisibilityconverter serializer transformer ivalueconverter stringconverter jsonconverter multibinding booltovisibilityconverter jsonserializer booleantovisibility multivalueconverter propertyeditor stringformat imultivalueconverter

stability robustness reliability scalability predictability portability repeatability usability resilience maintainability longevity efficiency effectiveness modularity uniformity scaleability determinism manageability performances efficacy effiency

chdatastructures impromptu-interface fat-free connectionkit corewlan externalaccessory juce omnigroup springboardservices imagecapturecore dtperformancesession mobilecoreservices nuclex iobluetooth chatkit weak-link zipkit opennetcf.ioc spring4d argotic mailcore

determinants eigenvalues inverses eigenvectors summations integrals decompositions pseudo-inverse determinant factorizations covariances jacobian exponentials reciprocals polynomials dot-product pseudoinverse factorials multipliers coefficients dot-products

helpers partials helper templates htmlhelpers decorators url_helpers viewhelpers controllers handlebars validationmessagefor validators facades mixins scaffolding bindattr routes hiddenfor htmlhelper helper. directives

minmax minimax negamax alphabeta bubblesort quick-sort dijkstras dpll median-of-medians a-star quickselect next_permutation mini-max insertionsort shortestpath kmp nelder-mead sqp nth_element heapsort bubble-sort

ngif ng-if ng-switch ngswitch ngshow ng-show ng-transclude ng-class ng-hide ng-switch-when ng-bind ng-include ngclass ngstyle ngclick ngrepeat ng-bind-html nginclude ng-style v-if nghide

nsbutton nstoolbaritem nsmenuitem nsimageview nstextfield nstablecellview nssegmentedcontrol nstoolbar nsbuttoncell uibarbuttonitem nswindow nsview nssearchfield nsbox nspopupbutton nsmenu nscollectionviewitem nscolorwell nsviewcontroller uibutton nsslider

rebase rebasing cherry-pick rebases squash commit stash dcommit filter-branch branch force-push uncommit cherry-picking git reintegrate hg git-svn graft --no-commit commits branch_a

java.util.concurrent java.util.concurrent.atomic java.concurrent java.util.concurrency java.util.concurrent.locks java.util java.nio java.io java.lang.management java.lang.concurrent java.beans java.util.stream java.util.function java.lang android.database.sqlite java.nio.file concurrent.futures util.concurrent java.util.regex java.nio.channels java.lang.reflect

lts 10.04 12.04 13.10 14.04 12.10 11.10 16.04 14.04.4 13.04 8.04 11.04 14.04.3 14.04.2 12.04.4 xenial wheezy 14.04.1 10.04.4 16.04.1 12.04.5

javacard javame globalplatform j2me javacards jse jcop javax.smartcardio javapos emv midp lejos opensc javase java3d j2se jme wtk cldc jcdk gemalto

rerender re-render rerendering re-rendering re-renders rerenders rerendered re-rendered redisplay re-layout re-draw relayout redraw rebind re-bind re-paint repaint repopulate databind re-display reflow

contain correspond hold represent consist belong contains produce include exist accept comprise match affect constitute recognize relate containt occupy return containing

drawinrect drawatpoint -drawatpoint -drawinrect renderincontext withattributes resizableimagewithcapinsets cgcontextdrawimage drawincontext setframe withfont uigraphicsgetimagefromcurrentimagecontext -drawrect imagewithcgimage cgimagecreatewithimageinrect sizewithfont drawstring setimage imagewithdata drawrect setneedsdisplayinrect

pdfjs pdf.js jspdf pdfmake html2canvas.js dompdf filesaver.js html2canvas alivepdf canvg pdftron jszip flexpaper viewer.js mpdf rotativa pdfviewer pdfsharp html2pdf libharu svgweb

fixed solved resolved corrected fixed. cured fixe remedied rectified fixable addressed overcame adjusted reduced changed soved reproduced countered fixing sovled plagued

icollection ilist ienumerable entitycollection iset ienumberable ienumerator iqueryable icomparable ireadonlycollection ireadonlylist observablecollection icollectionview iperson idictionary itemcollection objectcollection inotifycollectionchanged ienumarable ientity ibindinglist

scrapyd gearmand pserve dev_appserver.py gunicorn celerybeat celeryd foreman scrapy redis-server bitcoind rabbitmq-server jitsu tracd paster rundeck jupyterhub puppetdb salt-minion salt-master apscheduler

conform adhere conforms comply obey adheres conforming correspond satisfy mandate fulfill violate meet adhering enforce honor adopt fulfil dictate relate recognise

cxf jax-ws axis2 resteasy jersey spring-ws jaxws wss4j jax-rs apache-cxf jaxrs restlet xfire jax-rpc jersy xmlbeans jersey-client jaxb dosgi rampart jbossws

sklabelnode skspritenode sknode skshapenode skemitternode scnnode catextlayer skscene nsmutableattributedstring cclabelttf nstextview skview nsattributedstring ccsprite skphysicsbody nsview scnview nsimageview scnscene nsscrollview nstextfield

aptana apatana sublimetext textmate rubymine phpstorm pycharm enide coda pydev apanta webstorm sublime radrails zerobrane phpeclipse motodev cypal kdevelop eclim geany

metalanguage meta-language bnf compiler-compiler formalism lisp-like ebnf bnf-style grammer non-context-free prolog-like pascal-like context-free goldparser concatenative dependently-typed dcg bnf-like srgs langauge abnf

openoffice.org openoffice libreoffice gnumeric ms-office odf jodconverter ms-word msoffice staroffice libre ooxml open-office pyuno odt framemaker abiword calibre texshop wordperfect opendocument

argmax argmin which.min cumprod np.argmax np.mean rowsums pdist argsort cumsum ind2sub bincount sub2ind np.sum which.max idxmax rowmeans searchsorted nchoosek eigs np.bincount

ttimer system.windows.forms.timer dispatchertimer system.timers.timer windows.forms.timer system.threading.timer qtimer dispatchtimer notifyicon system.timer javax.swing.timer backgroundworker tidudpserver wx.timer manualresetevent tbutton tapplicationevents tform cadisplaylink forms.timer bgw

frame frames frame. pixel cell scene row jpanel rectangle uiimageview jframe tile uiview label viewcontroller subview clip rect picturebox sprite scrollview

preventdefault e.preventdefault event.preventdefault stoppropagation event.stoppropagation e.stoppropagation .preventdefault stopimmediatepropagation .stoppropagation event.stopimmediatepropagation form.submit onsubmit evt.preventdefault stoppropogation addeventlistener .submit e.stopimmediatepropagation onbeforeunload triggerhandler window.onbeforeunload event.stoppropogation

abort terminate aborts aborting halt retry exit suspend aborted shutdown quit die cancel interrupted abortion resume kill interrupt fail rollback finish

packet packets datagram rtp udp packet. ack syn datagrams syn-ack tcp payload syn+ack pakets pkt rtcp icmp wol pdu fu-a recv

freeze hang freezing freezes froze crash unresponsive frozen halt stall freezed unfreeze hangs freeze. lock-up freez crash. lockup stutter hanged hang.

gotchas pitfalls caveats oddities subtleties complications annoyances inefficiencies dangers considerations downsides nuances shortcomings drawbacks flaws peculiarities hurdles gotchyas misconceptions work-arounds challenges

subreport sub-report tablix subreports mainreport subform subreport1 subreport2 pageheader subdataset pivottable reportheader sub-reports report1 pagefooter rdlc report crosstab printwhenexpression groupfooter groupheader

modernizr modernizer html5shiv respond.js modernizr.js selectivizr prefixfree yepnope picturefill polyfill jasmine-jquery yepnope.js css3pie webshim es5-shim zepto modernizr.load enquire.js qunit -prefix-free fastclick

profiling profiler benchmarking debugging tracing benchmark nvprof instrumentation perf instruments oprofile perfview profilers nvvp debuging diagnostics profilling appstats cprofile umdh visualvm

multipart form-data multpart mutlipart mulitpart mulipart multipar non-multipart multi-part mtom mutipart chunked multipart-form-data multiplart form-urlencoded x-www-form-urlencoded mime multiform byteranges formdata multipartentitybuilder

interpreter interpretor repl intepreter interpeter interpretter tclsh interperter executable shell interpreter. jython rscript ipython jvm clisp sbcl bpython compiler program mit-scheme

racket ocaml sml drracket haskell guile r5rs lisp julia mit-scheme drscheme clojure rust idris agda mzscheme swi-prolog coq tcl clisp sbcl

git-filter-branch filter-branch bfg git-pull git-revert git-svn git-merge svnsync git-stash --index-filter svndumpfilter git-commit git-subtree git-rebase git-log git-fetch --tree-filter git-diff svn2git git-reset git-cherry-pick

icommand relaycommand delegatecommand routedcommand commandparameter eventtrigger mvxcommand inotifypropertychanged ivalueconverter inputbinding canexecute inpc viewmodel savecommand mainviewmodel icollectionview imultivalueconverter iview view-model eventhandler routeduicommand

bootstrapvalidator formvalidation.io jquery-validate parsley.js formvalidation jquery.validate jquery.validation livevalidation bassistance parsley parsleyjs jqbootstrapvalidation validationengine bvalidator jqueryvalidation.org x-editable jquery-steps ajaxform tooltipster jquery.form backbone.validation

xerces xalan woodstox dom4j jaxen jdom xmlbeans jaxp xercesimpl xerces-j expat xerces-c xom jdom2 xercesc libxml2 tinyxml nekohtml xmlparserapis libxml xmlpull

sqldataadapter dataadapter oledbdataadapter mysqldataadapter sqlcommand sqlcommandbuilder sqladapter oracledataadapter tableadapter sqldatareader odbcdataadapter oledbconnection sqlconnection oledbcommand sqlcedataadapter commandbuilder sqlitedataadapter dataadaptor datareader mysqldatareader executereader

breakpoints breakpoint break-points break-point debugger breakpoints. watchpoints brakepoints nslogs brakepoint debuggers watchpoint xdebug_break debbuger sysouts debuger tracepoint console.logs printfs step-in breakpoint.

macros macro #defines preprocessor macros. subroutines macroses typedefs constants pragmas functions formulas __counter__ directives define-syntax makefiles builtins shortcuts conditionals macro. ndebug

state state. sate context value visibility orientation status lifetime currentstate scope position states datacontext session location sub-state viewstate caller parent ischecked

big-o big-oh asymptotic bigo big-theta o-notation big-omega little-o algorithmic time-complexity average-case bigoh asymptotically quadratic kolmogorov little-oh polynomial landau amortized mathematical asymptotics

soapui soap-ui postman wcftestclient wcftestclient.exe hurl.it fiddler soap jmeter mockservice axis2 wcfstorm restclient restassured soupui wsdl testng webservice wiremock cxf runscope

query-string querystring querystrings get-parameters _escaped_fragment_ returnurl redirecturl redirect_url querysting query_string queryparams url-string myparam relaystate ulr get-parameter routedata request.url param_name queryparam wctx

masking masks mask shifting masked unmasking blurring bitshifting bit-shifting clamping unsharp blending clipping cropping rescaling bitshifts inverting smoothing zero-padding flipping stretching

piston django-piston tastypie django-rest-framework django-tastypie rest-framework djangorestframework django-nonrel mongoengine flask-restless restframework imagekit webob mongokit pylons app-engine-patch tipfy drf djangoappengine flask-restful taggit

boundary boundaries boundry boundries boundary. naughts myboundary noughts plane edge perimeter crossing tangent bounday antimeridian iisolationboundary polygon septet diagonal midpoint storage-unit

flickr instagram imgur last.fm foursquare picasa deviantart soundcloud twitpic linkedin yelp tumblr vimeo lastfm twitter tweeter photobucket picasaweb pinterest behance dailymotion

pluck plucking group_by .filter values_list _.pluck flatten string.join _.groupby splice plucks groupby array#map array_filter each_with_index _.omit _.uniq sort_by array_keys _.filter .aggregate

email e-mail mail email. sms emails eamil emial e-mails recipient invitation gmail emai newsletter username mails hotmail gmail.com email.. email-address emailadress

aggregation aggregate aggregations agregation aggregates groupby group-by grouping aggregration aggregrate aggregating agg analytical row_number sub-aggregation agregate equi-join rollup map-reduce orderby date_histogram

pouchdb cloudant pouch couchdb lokijs nedb indexeddb websql minimongo rethinkdb lawnchair indexdb couch couchbase angularfire mongoose touchdb couchbase-lite sequelize localforage iriscouch

lf crlf cr+lf cr linefeed eol cr-lf line-feed newline carriage-return 0x0d 0x0a newlines lfcr end-of-line endings carriage 0d0a line-ends line-endings lf.

recipe recipes ingredients buildout bitbake ingredient receipe cookbook recipie chef include_recipe runlist mycookbook dockerfile lwrp berkshelf berksfile carton provisioner chef-solo opscode

dalli redis-store redis-rb rails.cache memcachier dalli_store connect-redis memcache-client websocket-rails redis-rails memorystore pylibmc memecached figaro memcachestore spymemcached file_store aws-s3 em-websocket tweetstream memcachedb

iequalitycomparer icomparer equalitycomparer comparer icomparable iusertype iequatable imodelbinder ienumerator icontractresolver ivalueprovider imultivalueconverter ivalueconverter extensionmethod ordereddictionary icloneable stringcomparer xmladapter icustomtypedescriptor idictionary iformatprovider

uielement frameworkelement dependencyobject contentcontrol listviewitem treeviewitem listboxitem usercontrol displayobject dependencyproperty contentpresenter scatterviewitem itemscontrol rendertransform customcontrol inkcanvas drawingvisual datagridrow mycontrol datatemplate scatterview

statelistdrawable colorstatelist gradientdrawable layerdrawable layer-list shapedrawable transitiondrawable levellistdrawable colorfilter layerlist checkedtextview drawable rippledrawable 9-patch scaledrawable clipdrawable spannablestring bitmapdrawable 9patch nine-patch statelist

buckets partitions bins clusters bucket subsets shards subarrays slices sub-arrays ranges regions sublists hashes datapoints groups dataframes dictionaries nodes pairs indices

nstextfield nstextview nsbutton uitextfield uitextview nssearchfield nstableview nsscrollview nsview nscombobox nswindow nsimageview uilabel nstablecellview nstextfieldcell nspopupbutton nssegmentedcontrol uisearchbar uipickerview nsmenuitem nsslider

onkeydown onkeyup onkey onkeypress dispatchkeyevent onkeypressed onkeylongpress keyreleased keypressed keytyped keydown onfocus onbackpressed onmousedown ontouch ontextchanged onfocuschanged onscroll ontouchevent onblur navigationclick

xbee zigbee esp8266 hc-05 sim900 nrf24l01 hc-06 i2c wifly hm-10 telit gsm transceiver uart elm327 bluegiga rn42 digi rs232 rn-42 nrf24l01+

horizontallistview recycleview recylerview customlistview horizontalscrollview swiperefreshlayout pulltorefreshlistview expandablelistadapter recyclerview.adapter pageadapter baseexpandablelistadapter baseadapter sherlocklistfragment pageradapter slidingpanelayout cursortreeadapter customarrayadapter swipelistview staggeredgridview pagertitlestrip listfragment

teamcity hudson jenkins bamboo cc.net ccnet cruisecontrol cruisecontrol.net tfs sonar gitlab sonarqube finalbuilder circleci vsts buildbot travis travis-ci msbuild gitlab-ci vso

scalability reliability stability robustness efficiency maintainability modularity usability scaleability manageability portability performance fault-tolerance testability durability performances resilience perfomance responsiveness sharding predictability

sharedpreferences sharedpreference nsuserdefaults sharedprefs sharedpref sharepreferences nsuserdefault sharedprefernces sharedprefrences userdefaults sharepreference playerprefs onsaveinstancestate sharedprefences isolatedstoragesettings isolatedstorage localstorage sharedprefrence asyncstorage nsdefaults preferencemanager

crc32 crc-32 crc16 adler32 crc crc-16 crc32c crc32b sha256 sha-256 checksum crc64 sha512 md5 adler-32 sha-512 md4 crc8 crc-ccitt crc-8 murmurhash

builtins built-ins stdlib __builtins__ __builtin__ pragmas macros __atomic #defines bashisms pythons magics barewords typedefs one-liners typemaps implicits globals shorthands __sync_fetch_and_add macroses

configuration config configs configration configurations configuation configuraiton configuartion settings standalone-full.xml conf configuraton config. jetty.xml cofiguration activemq.xml standalone-ha.xml wrapper.conf autoconfig standalone.xml application.conf

cocoapods carthage cocoapod pods cocopods cocoa-pods restkit sharekit cocoalumberjack cocapods bundler alamofire afnetworking homebrew fbsdk macports swiftyjson magicalrecord realmswift parsefacebookutilsv4 podspec

nsviewcontroller nswindowcontroller nswindow uicollectionviewcontroller nstablecellview nscollectionviewitem nsview windowcontroller myviewcontroller nsmenu nsbutton nsopenglview nsimageview nspopover nscollectionview nsscrollview skscene nssplitviewcontroller glkviewcontroller skview nsdocumentcontroller

memento flyweight multiton chain-of-responsibility monostate weakevent borg session-per-request model-view-presenter post-redirect-get session-per-conversation open-session-in-view creational pimp-my-library subject-observer delegate-protocol abstractfactory gof cache-aside unit-of-work service-locator

observable observablearray observablecollection observables iobservable ienumerable observablelist behaviorsubject observer arraycollection icollectionview enumerable enumerator ilist ko.observable ko.observablearray eventstream iqueryable observable.interval selecteditems viewmodel

datepicker datetimepicker timepicker date-picker datapicker datebox calender picker daterangepicker mobiscroll tooltip select2 bootstrap-datepicker colorpicker fullcalendar selectmenu jqueryui bootstrap-datetimepicker multiselect modal datepick

commenting commented stripping uncommenting commmented commended ruling weirded subbing greying poined comented commeting wiping zero-ing comenting singling remmed graying ponted weeding

tlv type-length-value tag-length-value ber-tlv varint ia5string ber asn.1 asn1 base64url pdu tpdu length-prefix nalu gop annexb ndef two-byte xer byte-stream wbxml

limits limit limits. limitations limit. restrictions quotas limiting maximum quota capping thresholds restraints maxmimum exceeding tolerances limitations. 1500m limiters surpassing sanctions

admin administration administrator admins administrative backoffice superadmin dashboard administrators admin. admin-panel administation login amdin adminstrator non-admin superusers sub-admin adminstrative wp-admin extranet

sum sums count summation summing summ total summed median totals average averages rank subtotal cumulative counts tally max quantity avg number

manifest.mf plugin.xml build.properties pom.xml application.xml jboss-deployment-structure.xml .classpath log4j.properties project.clj persistence.xml project.properties pom weblogic.xml weblogic-application.xml .pom build.sbt context.xml feature.xml manifest class-path aop.xml

tabpage tabitem toolstrip groupbox tabcontrol menustrip splitcontainer contextmenustrip flowlayoutpanel tabpages pivotitem toolstripmenuitem listviewitem linklabel tabsheet tablelayoutpanel statusstrip listboxitem tabcontrol1 tabpanel user-control

tf-idf tfidf idf bm25 term-frequency bag-of-words word2vec similarity hashingtf unigram countvectorizer hashingvectorizer n-gram tanimoto lda bigram n-grams weighting tf_idf tfidfvectorizer vectorizer

valgrind memcheck gdb helgrind splint gprof asan cuda-memcheck cppcheck strace massif gcov windbg callgrind pc-lint instruments ltrace scan-build umdh valgrid addr2line

formfield choicefield text_field fieldlist modelchoicefield charfield textitem formcontrol modelmultiplechoicefield formfields modelfield formgroup selectfield multiplechoicefield formtype customfield cactiveform modelform datefield numberfield searchform

libiconv libreadline libffi libgmp libgfortran libintl libncurses libz libjpeg libgd libssl libgcc libicu icu4c libmysqlclient libtool binutils glib2 libexpat libpng libzip

figures plots points graphs histograms bands datapoints boxplots cubes crystals stars ggplots peaks curves rectangles heatmaps harmonics measurements scatterplots triangles averages

sqlplus psql isql sqlcmd sqldeveloper osql toad bteq nzsql tnsping mysqldump cqlsh vsql beeline sqlcmd.exe pgadmin3 mysqladmin heidisql psexec dbisql pgadmin

discounts coupons taxes fees discount prices vouchers bills commissions buyers expenses sellers commission charges fee securities bonuses merchants discounted skus revenues

apostrophe ampersand hyphen apostrophes single-quote backslash unescaped double-quote apostroph em-dash asterix back-slash apostrophy underscore en-dash double-quotes quotation hypen quote hyphens umlaut

canopy enthought anaconda spyder epd winpython pycharm pyscripter pythonwin miniconda virtualenv python3.4 pyzo pydev python3.3 ipython-notebook python-2.7 pythonxy ipython3 python3.5 activepython

estimation estimate estimator estimating estimates discretization estimations autocorrelation extrapolation estimated approximation reconstruction dispersion mle auto-correlation measurement prediction forecasting maximum-likelihood calibration mcmc

strftime strptime mktime gmdate datetime.strftime time.strftime datetime.strptime strtotime as.posixct time.strptime str_to_date as.date as.posixlt datetime.datetime.strptime date_format localtime date_create_from_format datenum time_format datestr date_parse_from_format

amcharts chartjs highcharts charts.js morris.js jqplot nvd3 c3.js highstock flot chart.js highchart canvasjs c3js nvd3.js rgraph graphael amchart fusioncharts highstocks d3js

sqlyog heidisql navicat razorsql dbvisualizer mysqlworkbench pgadmin3 toad adminer ibexpert flamerobin dbeaver pgadminiii sequelpro pgadmin sqldeveloper workbench squirrelsql phppgadmin mongovue sqliteman

gtk gtk+ pyqt wx pygtk wxwidgets wxpython gtk3 pyside pyqt4 gtkmm gtk2 tkinter qt4 qt qt5 tk pyqt5 kde fltk wxwidget

subtitle subtitles caption headline sub-title title tittle captions mov_text textlabel titles detailtextlabel label uilabel lyrics movie textview wkinterfacelabel titlelabel mytitle lable

mkannotationview mkpinannotationview annotationview mkpointannotation mkannotation mkoverlayview mkmapview overlayview mkoverlay gmsmapview uicollectionviewcell mkoverlayrenderer gmsmarker pinview uigesturerecognizer nscell leftcalloutaccessoryview nsview nsbutton nsimageview uitablecell

iso9660 fat16 fat12 fat32 ext2 hfs+ hfs vfat xfs exfat ext4 ntfs ext3 squashfs cramfs reiserfs extx jffs2 ufs pbm netcdf-3

servicebehavior servicebehaviour aspnetcompatibilityrequirements xmlserializerformat instancecontextmode.single behaviorconfiguration servicecontract bindingconfiguration serviceknowntype webget webhttpbehavior scriptservice servicethrottling sessionmode sessionmode.required instancecontextmode.persession instancecontextmode webinvoke operationcontract instancecontextmode.percall servicemetadata

hierarchicaldatatemplate datatemplate datagridtemplatecolumn datatemplateselector compositecollection listbox.itemtemplate contentpresenter datatemplates templateselector contentcontrol celltemplate itemtemplate headertemplate contenttemplate itemcontainerstyle collectionviewsource datatrigger controltemplate itemscontrol multibinding itemtemplateselector

ca cert certificate certificates certs globalsign digicert root-ca certicate startcom geotrust authority certficate thawte verisign certificat rootca comodo alameda issuer rapidssl

opengl-es opengles gles ogl opengl|es ogles opengles2 opengl opengles2.0 dx9 es2 cocos2d-iphone opentk non-opengl dx11 openvg glkit cocos2d open-gl directx11 gles20

chain-of-responsibility enrich-my-library pimp-my-library weakevent session-per-conversation excluding... cache-aside open-session-in-view subject-observer observer-observable tester-doer self.url_patterns delegate-protocol multiton web-service-proxy e486 fly-weight view-holder anti- transaction-per-request session-per-request

dataframe data.frame df dataset data-frame df1 dataframes matrix df2 timeseries rdd data.table pandas.dataframe multiindex pandas datetimeindex xts tuple vector data.frames dict

knockout.js knockoutjs knockout backbone.js backbonejs vue.js vuejs ember.js emberjs canjs jsviews durandal rivets.js knockout-kendo jsrender durandaljs kendoui react.js underscorejs underscore.js backbone

xmlrpclib simplexmlrpcserver ftplib telnetlib http.client httplib basehttpserver smtplib socketserver pxssh urllib.request pycurl dpkt win32com soappy httplib2 rpyc colorsys suds asyncore redis-py

